,Name,City,Country,Arena,Capactity,Logo URL,Division,City,State,,,,,,,,,,,,,,,,,,,,,,
players,Khyri,Thomas,SG,21,190,210,8,67,0.4,1,0.67,1.6,0.34,1.2,0.33,0.1,21,0.8,64,1.7,70,70,0.4,0.4,67,,,,,,

players,Sekou,Dombouya,SF,19,203,230,8,62,1.4,1.4,0.74,4.2,0.48,3,0.33,0.8,43,2.6,60,0.6,75,70,0.7,0.4,72,R,,,,,

players,Tony,Snell,SF,28,198,213,8,68,0.7,0.8,0.91,2.2,0.50,4,0.39,0.4,60,2,74,0.7,75,62,0.6,0.3,85,,,,,,

players,Langston,Galloway,SG,28,186,200,8,57,0.6,1.3,0.84,3.8,0.46,4.5,0.39,0.5,48,2,56,1.8,67,64,0.8,0.3,69,,,,,,

players,Thon,Maker,PF,23,213,221,8,60,0.7,1.6,0.68,2.4,0.54,1.4,0.33,1,35,2,54,0.8,44,69,0.4,0.7,70,PT,,,,,

players,Bruce,Brown,PG,23,193,202,8,67,1.3,1.8,0.74,6,0.53,1.7,0.32,1,30,3.2,70,2.6,57,69,1,0.5,71,,,,,,

players,Brandon,Knight,SG,28,188,182,8,65,2.6,2.6,0.78,8.6,0.45,5.1,0.37,0.6,61,2,70,3.4,75,67,0.7,0.3,79,,,,,,

